"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-04","4.70","0.00",,"0.0","0.0",,"52","39",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-05","7.61","0.00",,"0.0","0.0",,"56","42",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-06","9.84","0.00",,"0.0","0.0",,"49","37",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-07","5.14","0.00",,"0.0","0.0",,"56","31",,"    1",,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-08","1.79","0.00",,"0.0","0.0",,"70","42",,"    1",,,,,,,"    1",,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-09","3.13","0.00",,"0.0","0.0",,"70","43",,"    1","    1",,,,,"    1","    1",,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-10","3.36","0.00",,"0.0","0.0",,"65","50",,"    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-11","13.65","0.05",,"0.0","0.0",,"58","46",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-12","19.69","0.30",,"0.0","0.0",,"50","44",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-13","22.37","0.07",,"0.0","0.0",,"55","49",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-14","11.18","0.08",,"0.0","0.0",,"59","53",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-15","6.71","0.00",,"0.0","0.0",,"70","56",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-16","8.72","0.00",,"0.0","0.0",,"61","50",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-17","8.28","0.00",,"0.0","0.0",,"58","43",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-18","8.50","0.00",,"0.0","0.0",,"58","43",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-19","6.93","0.17",,"0.0","0.0",,"60","51",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-20","10.07","0.76",,"0.0","0.0",,"61","45",,"    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-21","6.71","0.00",,"0.0","0.0",,"57","40",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-22","8.28","0.00",,"0.0","0.0",,"57","41",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-23","13.20","0.14",,"0.0","0.0",,"50","46",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-24","6.71","0.14",,"0.0","0.0",,"53","47",,"    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-25","3.58","0.11",,"0.0","0.0",,"52","46",,"    1",,,,"    1",,,,"    1",,"    1","    1",,"    1",,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-26","3.13","0.00",,"0.0","0.0",,"56","46",,"    1","    1",,,,,,,"    1",,"    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-27","17.45","0.00",,"0.0","0.0",,"52","41",,,,,,,,,,,,,,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-28","15.66","0.00",,"0.0","0.0",,"53","37",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-29","5.59","0.00",,"0.0","0.0",,"62","35",,,,,,,,,,,,,,,,,,,
